folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0098.JPG,D:\drone\DCIM\109MEDIA\DJI_0098.JPG,-49.34934455555556,-27.395068805555557,564.759,2026:03:01 15:41:56
109MEDIA,DJI_0099.JPG,D:\drone\DCIM\109MEDIA\DJI_0099.JPG,-49.349532333333336,-27.395037416666668,564.659,2026:03:01 15:41:58
109MEDIA,DJI_0100.JPG,D:\drone\DCIM\109MEDIA\DJI_0100.JPG,-49.34971822222222,-27.394994277777776,564.659,2026:03:01 15:42:00
109MEDIA,DJI_0101.JPG,D:\drone\DCIM\109MEDIA\DJI_0101.JPG,-49.349808833333334,-27.394901916666665,564.659,2026:03:01 15:42:02
109MEDIA,DJI_0102.JPG,D:\drone\DCIM\109MEDIA\DJI_0102.JPG,-49.349780888888894,-27.39480672222222,564.659,2026:03:01 15:42:04
109MEDIA,DJI_0103.JPG,D:\drone\DCIM\109MEDIA\DJI_0103.JPG,-49.34968988888889,-27.39481111111111,564.659,2026:03:01 15:42:06
109MEDIA,DJI_0104.JPG,D:\drone\DCIM\109MEDIA\DJI_0104.JPG,-49.349578972222226,-27.394895555555554,564.659,2026:03:01 15:42:08
109MEDIA,DJI_0105.JPG,D:\drone\DCIM\109MEDIA\DJI_0105.JPG,-49.349432472222226,-27.3949535,564.659,2026:03:01 15:42:10
109MEDIA,DJI_0106.JPG,D:\drone\DCIM\109MEDIA\DJI_0106.JPG,-49.349254944444446,-27.39500013888889,564.359,2026:03:01 15:42:12
109MEDIA,DJI_0107.JPG,D:\drone\DCIM\109MEDIA\DJI_0107.JPG,-49.349068611111115,-27.39504736111111,564.459,2026:03:01 15:42:14
109MEDIA,DJI_0108.JPG,D:\drone\DCIM\109MEDIA\DJI_0108.JPG,-49.34888572222223,-27.395099194444445,564.459,2026:03:01 15:42:16
109MEDIA,DJI_0109.JPG,D:\drone\DCIM\109MEDIA\DJI_0109.JPG,-49.34871705555556,-27.395155055555556,564.559,2026:03:01 15:42:18
109MEDIA,DJI_0110.JPG,D:\drone\DCIM\109MEDIA\DJI_0110.JPG,-49.34853619444445,-27.395188694444442,564.459,2026:03:01 15:42:20
109MEDIA,DJI_0111.JPG,D:\drone\DCIM\109MEDIA\DJI_0111.JPG,-49.348346972222224,-27.395196833333333,564.559,2026:03:01 15:42:22
109MEDIA,DJI_0112.JPG,D:\drone\DCIM\109MEDIA\DJI_0112.JPG,-49.34815238888889,-27.395189944444443,564.659,2026:03:01 15:42:24
109MEDIA,DJI_0113.JPG,D:\drone\DCIM\109MEDIA\DJI_0113.JPG,-49.34795816666667,-27.395163611111112,564.559,2026:03:01 15:42:26
109MEDIA,DJI_0114.JPG,D:\drone\DCIM\109MEDIA\DJI_0114.JPG,-49.34777066666667,-27.39511872222222,564.559,2026:03:01 15:42:28
